,bal0,bal1,bal2,bal3,bal4,bal5,bal6,elev0,elev1,floor,hfloor,htype,kitarea,lat,livarea,lon,offertype,overallarea,parktype,price,rdate,roomarea0,roomarea1,roomarea2,roomarea3,roomarea4,roomarea5,roomarea6,rooms,slavnum,ulavnum,view
383,1 лодж,,,,,,,2 пасс,2 груз,2,23,"новостройка,монолитный",10.1,55.718188,45.2,37.425203,свободная,74.1,,10492626,,20.0,,,0.0,0.0,0.0,0.0,3,1.0,1.0,двориулица
384,нет,,,,,,,2 груз,,17,32,"новостройка,кирпично-монолитный",,55.645719,20.2,37.704716,свободная,28.1,,3935675,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
385,,,,,,,,1 пасс,,2,15,"новостройка,панельный",,55.648997,38.7,37.533921,214,38.7,,5611000,"(2, 2017)",38.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
386,1 балк,,,,,,,,,4,5,"вторичка,кирпичный",6.0,55.86844,30.0,37.674993,альтернатива,46.0,,6300000,,,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
387,нет,,,,,,,1 пасс,,2,9,"вторичка,панельный",7.0,55.59546,19.0,37.611473,свободная,33.0,,5490000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
388,1 балк,,,,,,,2 пасс,,8,12,вторичка,10.0,55.743188,20.0,37.684874,альтернатива,35.0,,7800000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
389,нет,,,,,,,2 пасс,2 груз,19,26,"вторичка,кирпично-монолитный",14.0,55.658683,42.0,37.560377,свободная,61.0,,20150000,,18.0,24.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двориулица
390,1 балк,,,,,,,1 пасс,,9,10,"вторичка,кирпичный",14.0,55.707451,20.0,37.582817,свободная,45.6,наземная,11950000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
391,2 лодж,,,,,,,2 пасс,2 груз,15,31,"вторичка,монолитный",21.9,55.659571,65.0,37.560071,свободная,138.1,,34525000,,22.0,,,,0.0,0.0,0.0,4,,,двориулица
392,1 лодж,,,,,,,2 пасс,1 груз,12,22,"вторичка,блочный",10.0,55.642387,48.0,37.767753,альтернатива,78.0,наземная,10400000,,18.0,16.0,14.0,0.0,0.0,0.0,0.0,3,1.0,,двориулица
393,нет,,,,,,,,,3,20,"вторичка,кирпично-монолитный",10.6,55.946955,34.0,37.347099,свободная,66.2,,6200000,,,,0.0,0.0,0.0,0.0,0.0,2,1.0,,улица
394,,,,,,,,1 пасс,,1,12,"вторичка,блочный",7.0,55.861999,24.0,37.468928,свободная,37.5,наземная,5400000,,10.0,14.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
395,1 балк,,,,,,,1 пасс,1 груз,8,22,"вторичка,панельный",9.8,55.57664,20.0,37.580616,свободная,39.6,,5500000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
396,1 лодж,,,,,,,1 пасс,1 груз,9,14,"вторичка,блочный",10.9,55.779418,28.1,37.571884,свободная,50.2,наземная,10500000,,11.5,16.6,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
397,,,,,,,,,,17,22,вторичка,15.0,55.848559,90.0,37.419045,свободная,151.0,,30444132,,30.0,20.0,20.0,20.0,0.0,0.0,0.0,4,1.0,1.0,
398,нет,,,,,,,1 пасс,,15,17,"вторичка,панельный",7.6,55.721843,19.2,37.898538,свободная,38.0,,5300000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
399,1 балк,,,,,,,,,2,5,"вторичка,панельный",6.0,55.635416,20.0,37.655769,свободная,32.0,наземная,5000000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
